element,elementLabel,image
http://www.wikidata.org/entity/Q553,зуб,http://commons.wikimedia.org/wiki/Special:FilePath/Lower%20wisdom%20tooth.jpg
http://www.wikidata.org/entity/Q283127,Гадательные кости,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20oracle%20bone%20%2816th-10th%20C%20BC%29%20-%20BL%20Or.%207694.jpg
http://www.wikidata.org/entity/Q220815,Лобковая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Gray241.png
http://www.wikidata.org/entity/Q5359828,eleventh rib,http://commons.wikimedia.org/wiki/Special:FilePath/Eleventh%20rib%20animation.gif
http://www.wikidata.org/entity/Q388431,lateral epicondyle of the humerus,http://commons.wikimedia.org/wiki/Special:FilePath/Medial-epicondyle-and-lateral-epicondyle.jpg
http://www.wikidata.org/entity/Q23777475,Q23777475,http://commons.wikimedia.org/wiki/Special:FilePath/Urokseknoglen%20fra%20Ryemarksg%C3%A5rd%20A38557-%2000007.jpg
http://www.wikidata.org/entity/Q51078062,fifth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Fifth%20rib%20animation.gif
http://www.wikidata.org/entity/Q28947302,facial bones,http://commons.wikimedia.org/wiki/Special:FilePath/Facial%20bones%20-%20animation02.gif
http://www.wikidata.org/entity/Q28947302,facial bones,http://commons.wikimedia.org/wiki/Special:FilePath/Facial%20skeleton%20-%20en.svg
http://www.wikidata.org/entity/Q13100,таранная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Os%20trigonum%201.jpg
http://www.wikidata.org/entity/Q51094520,ninth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Ninth%20rib%20animation.gif
http://www.wikidata.org/entity/Q658424,Кубовидная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Gray274.png
http://www.wikidata.org/entity/Q835986,бакулюм,http://commons.wikimedia.org/wiki/Special:FilePath/Raccoonpenisbone.jpg
http://www.wikidata.org/entity/Q497385,Наковальня,http://commons.wikimedia.org/wiki/Special:FilePath/Gray917.png
http://www.wikidata.org/entity/Q7857568,twelfth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Twelfth%20rib%20animation.gif
http://www.wikidata.org/entity/Q728889,Подвздошная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Pelvis%20diagram.png
http://www.wikidata.org/entity/Q11801583,рыбная кость,http://commons.wikimedia.org/wiki/Special:FilePath/The%20skeleton%20of%20the%20black%20bass%20%281900%29%20%2814586465960%29.jpg
http://www.wikidata.org/entity/Q468858,Нотариум,http://commons.wikimedia.org/wiki/Special:FilePath/UCMP%20Pteranodon%20dorsal%20body.JPG
http://www.wikidata.org/entity/Q468858,Нотариум,http://commons.wikimedia.org/wiki/Special:FilePath/Airsacs-bird.jpg
http://www.wikidata.org/entity/Q3356933,тазовая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Coxal%20bone.jpg
http://www.wikidata.org/entity/Q3356933,тазовая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Hip%20bone%20anterior%20high-res.jpg
