element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q932,таллий,Tl,81,1861,"Крукс, Уильям",http://commons.wikimedia.org/wiki/Special:FilePath/Thallium%20pieces%20in%20ampoule.jpg
http://www.wikidata.org/entity/Q708,свинец,Pb,82,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lead%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q942,висмут,Bi,83,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bismuth%20crystals%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q979,полоний,Po,84,1898,Мария Склодовская-Кюри,http://commons.wikimedia.org/wiki/Special:FilePath/2019-11-22%20Spark%20plugs%20and%20static%20eliminators%20with%20radioactive%20polonium%20at%20museum%20display.jpg
http://www.wikidata.org/entity/Q979,полоний,Po,84,1898,Пьер Кюри,http://commons.wikimedia.org/wiki/Special:FilePath/2019-11-22%20Spark%20plugs%20and%20static%20eliminators%20with%20radioactive%20polonium%20at%20museum%20display.jpg
http://www.wikidata.org/entity/Q999,астат,At,85,1940,"Сегре, Эмилио Джино",http://commons.wikimedia.org/wiki/Special:FilePath/Electron%20shell%20085%20Astatine.svg
http://www.wikidata.org/entity/Q1133,радон,Rn,86,1899,Фридрих Эрнст Дорн,http://commons.wikimedia.org/wiki/Special:FilePath/Radon%20water%20apparatus%20P1120815.JPG
http://www.wikidata.org/entity/Q671,франций,Fr,87,1939,"Перей, Маргарита",
http://www.wikidata.org/entity/Q1128,радий,Ra,88,1898,Мария Склодовская-Кюри,http://commons.wikimedia.org/wiki/Special:FilePath/Radium226.jpg
http://www.wikidata.org/entity/Q1128,радий,Ra,88,1898,Пьер Кюри,http://commons.wikimedia.org/wiki/Special:FilePath/Radium226.jpg
http://www.wikidata.org/entity/Q1121,актиний,Ac,89,1899,"Дебьерн, Андре-Луи",http://commons.wikimedia.org/wiki/Special:FilePath/Actinium%20sample%20%2831481701837%29.png
http://www.wikidata.org/entity/Q1115,торий,Th,90,1828,Йёнс Якоб Берцелиус,http://commons.wikimedia.org/wiki/Special:FilePath/Thorium%20sample%200.1g.jpg
http://www.wikidata.org/entity/Q1109,протактиний,Pa,91,1917,Лиза Мейтнер,http://commons.wikimedia.org/wiki/Special:FilePath/Protactinium-233.jpg
http://www.wikidata.org/entity/Q1109,протактиний,Pa,91,1917,Отто Ган,http://commons.wikimedia.org/wiki/Special:FilePath/Protactinium-233.jpg
